Date,ticker,label,Close,close_return_1d,vol_log,close_return_3d,close_return_7d,volatility_7d,price_position,volume_trend
2018-11-29,AAPL,0,43.0835075378418,0.0,18.933983303578405,0.0,0.0,0.0,0.3627458577202693,0.0
2018-11-30,AAPL,1,42.8507537841797,-0.0054023863646119,18.878902747860803,0.0,0.0,0.0038200640330068,0.4696974541758881,-0.0275333173434684
2018-12-03,AAPL,0,44.3480644226074,0.0349424573945418,18.910548279253955,0.0,0.0,0.0219007896552934,0.9678296796331328,0.0024855860577868
2018-12-04,AAPL,0,42.3972473144531,-0.0439887768170516,18.923739489456707,-0.0159286061559851,0.0,0.0323160554437552,0.0686272060749894,0.0118012851770255
2018-12-06,AAPL,0,41.9245414733887,-0.0111494465090721,18.965290798335634,-0.0216148428906507,0.0,0.0281887862026955,0.9862390845651252,0.0433088497661788
2018-12-07,AAPL,1,40.4296379089356,-0.0356570045113547,18.946156928234664,-0.0883562014416642,0.0,0.0281266422287629,0.0306950509189217,0.019536764909779
2018-12-10,AAPL,0,40.6959838867188,0.0065878892703201,19.329358575093867,-0.0401267425480791,0.0,0.0264492469529965,0.9275161729002456,0.3967379573002529
2018-12-11,AAPL,1,40.4632263183594,-0.0057194235432984,19.057928252829832,-0.0348558410819318,-0.0608186605322443,0.0262554176831003,0.3402937689599449,0.0461677297813292
2018-12-12,AAPL,1,40.5760002136231,0.002787071262593,18.7749283512918,0.0036201735226313,-0.0530854972123369,0.0266031896664382,0.0275868959594302,-0.201842974926247
2018-12-13,AAPL,0,41.0199089050293,0.010940178654109,18.664367048601893,0.0079596310833072,-0.0750462407076666,0.0212321735878495,0.4635734756839201,-0.2644240002661762
2018-12-14,AAPL,0,39.7073669433594,-0.0319976810457754,18.90812392263359,-0.018680155879143,-0.0634446937354992,0.0184128170068229,0.0526307330085945,-0.0593950105919858
2018-12-17,AAPL,1,39.3378562927246,-0.0093058462214805,18.99251642677373,-0.0305141934734808,-0.0616985920360269,0.0183930030875757,0.2153032866392459,0.0194276886571576
2018-12-18,AAPL,0,39.8489418029785,0.0129922054331268,18.723492786468324,-0.0285463116157048,-0.0143631290308625,0.0155774471331125,0.5350344709655879,-0.1987931697507095
2018-12-19,AAPL,0,38.6059875488281,-0.0311916502148495,19.094590062806017,-0.0277374069175215,-0.0513563290104598,0.0184097458774271,0.2153113530345499,0.2145213599143085
2018-12-20,AAPL,0,37.631778717041,-0.0252346564261549,19.37269377280568,-0.0433698664967449,-0.0699758239503923,0.019562108622275,0.2246695034424815,0.5104652313264355
2018-12-21,AAPL,0,36.1680679321289,-0.0388956045877598,19.76348915129883,-0.0923706804825235,-0.1086339771857125,0.0212417195736359,0.1289555682026587,0.8601679838222176
2018-12-24,AAPL,1,35.2322616577148,-0.0258738253912313,18.81728538715432,-0.0873886696162421,-0.1410936153152913,0.0176921980537093,0.0483881383620184,-0.2882720331583359
2018-12-26,AAPL,0,37.7133636474609,0.0704213091356515,19.27224094052207,0.0021679796491509,-0.0502174646519082,0.0380566061136202,0.9942913766518328,0.0694530650991274
2018-12-27,AAPL,1,37.4686279296875,-0.0064893632946972,19.17430383409516,0.0359587910529024,-0.0475172909557557,0.0380396802952073,0.907461090119209,-0.0521457894865644
2018-12-28,AAPL,1,37.4878234863281,0.000512310103178,18.946388680684876,0.0640197853469164,-0.0592517193636977,0.0372680840602445,0.4231718240751473,-0.2612396877560202
